player,plus_minus_diff,home_plus_minus,away_plus_minus,overall_plus_minus,total_games
Stephen Curry,-5.861587599392478,9.302063789868669,3.4404761904761907,6.453230472516876,1037
Wesley Matthews,-5.752391477151554,3.6756238003838773,-2.076767676767677,0.8730314960629921,1016
Russell Westbrook,-5.310412078212479,5.221674876847291,-0.08873720136518772,2.617573221757322,1195
Carmelo Anthony,-5.258932665811229,3.403458213256484,-1.8554744525547446,0.7911530094271211,1379
LeBron James,-5.193175914362428,7.550405561993047,2.3572296476306196,5.0154211150652435,1686
Tony Parker,-5.135013569321535,6.728613569321534,1.5936,4.265541059094398,1303
Dwyane Wade,-5.110000908347716,4.986238532110092,-0.12376237623762376,2.5285714285714285,1260
Tim Duncan,-5.07303554576911,8.2439446366782,3.170909090909091,5.7703900709219855,1128
Mike Conley,-4.982923060528559,4.571691176470588,-0.411231884057971,2.062043795620438,1096
Paul Pierce,-4.944589877835951,5.027923211169284,0.08333333333333333,2.575197889182058,1137
