player,plus_minus_diff,home_plus_minus,away_plus_minus,overall_plus_minus,total_games
Kerry Kittles,-7.8357380688124305,6.188679245283019,-1.6470588235294117,2.3461538461538463,104
Mehmet Okur,-7.2337128399747,4.370967741935484,-2.8627450980392157,0.7775974025974026,616
Chris Webber,-7.13717627401838,3.3777777777777778,-3.7593984962406015,-0.16417910447761194,268
Doug Christie,-7.059228004375684,5.89873417721519,-1.1604938271604939,2.325,160
Larry Hughes,-6.941704035874439,2.5829596412556053,-4.358744394618834,-0.8878923766816144,446
Kobe Bryant,-6.9317455454726105,5.804435483870968,-1.1273100616016427,2.3702950152594098,983
Allen Iverson,-6.627777777777778,3.3777777777777778,-3.25,0.13151927437641722,441
Gary Payton,-6.49171270718232,4.154696132596685,-2.3370165745856353,0.9088397790055248,362
Jason Richardson,-6.432470588235294,3.5893333333333333,-2.843137254901961,0.4521857923497268,732
Troy Murphy,-6.424049707602339,1.3754385964912281,-5.048611111111111,-1.8534031413612566,573
