Metric,Home_Mean,Away_Mean,Difference,p_value,Test_Type,Significant
Win Rate,58.92396655466124,41.07603344533875,17.847933109322497,0.0,Chi-square,True
Points per Game,103.69317027428303,100.8600062514652,2.83316402281784,4.95608432908494e-241,Paired t-test,True
Assists per Game,22.887004766742205,21.562358365241852,1.3246464015003525,1.4751009887682344e-210,Paired t-test,True
Rebounds per Game,43.41845745096507,42.14057982339611,1.2778776275689623,2.668956787424577e-113,Paired t-test,True
FTA per Game,24.393920450105494,23.348128467609595,1.0457919824958992,1.0955233359130023e-69,Paired t-test,True
Field Goal %,46.13538329295929,45.04090411815269,1.094479174806601,6.6745713764201155e-112,Paired t-test,True
Free Throw %,76.15527858091741,75.9931390169571,0.16213956396030937,0.06785232382542096,Paired t-test,False
Three-Point %,35.65596233492224,35.00690005470032,0.6490622802219264,2.2762089348415025e-11,Paired t-test,True
