player,plus_minus_diff,home_plus_minus,away_plus_minus,overall_plus_minus,total_games
Chris Chiozza,3.664406779661017,-1.8644067796610169,1.8,-0.01680672268907563,119
Cam Thomas,3.607843137254902,-3.0,0.6078431372549019,-1.16,100
Malachi Flynn,3.3775201612903225,-2.296875,1.0806451612903225,-0.6349206349206349,126
Theo Maledon,2.609126984126984,-7.261904761904762,-4.652777777777778,-6.0576923076923075,156
Wayne Selden,2.459572845156369,-4.184210526315789,-1.7246376811594204,-3.013793103448276,145
Vlatko Cancar,2.2866666666666666,-2.62,-0.3333333333333333,-1.3189655172413792,116
Keldon Johnson,1.9423180592991915,-2.056603773584906,-0.11428571428571428,-1.0900473933649288,211
Donell Taylor,1.9031372549019607,-1.8431372549019607,0.06,-0.900990099009901,101
Thanasis Antetokounmpo,1.8505142589995327,-2.097826086956522,-0.24731182795698925,-1.1675675675675676,185
Cole Anthony,1.816901408450704,-5.253521126760563,-3.436619718309859,-4.345070422535211,142
