player,fta_diff,home_fta,away_fta,overall_fta,total_games
Jonathan Kuminga,1.6229508196721312,1.5573770491803278,3.180327868852459,2.3688524590163933,122
Latrell Sprewell,0.9581429806148907,2.6373626373626373,3.595505617977528,3.111111111111111,180
Devin Booker,0.9128078817733991,5.258620689655173,6.171428571428572,5.707017543859649,570
Naji Marshall,0.832121762835075,1.435483870967742,2.267605633802817,1.8796992481203008,133
LaMelo Ball,0.7726720998786196,2.7341772151898733,3.506849315068493,3.1052631578947367,152
Austin Reaves,0.6923076923076923,1.8076923076923077,2.5,2.1470588235294117,102
Eric Snow,0.6706349206349207,1.4126984126984128,2.0833333333333335,1.7506561679790027,381
Marquis Teague,0.6666666666666667,0.3333333333333333,1.0,0.6504854368932039,103
Donald Sloan,0.6469684780223799,0.9646017699115044,1.6115702479338843,1.2991452991452992,234
CJ Elleby,0.6462264150943395,0.75,1.3962264150943395,1.0891089108910892,101
